iteration,loss,ROC_AUC,f1_score
1.0,0.7405840597379939,0.5,0.0
1.0,0.4224198407257703,0.8502394885285466,0.8569195342068098
1.0,0.3239927653832213,0.8745103385440746,0.8786167837566892
1.0,0.2902437300263937,0.8916717428966372,0.8853418681093426
1.0,0.27466828918269615,0.8947095300327261,0.901405411777543
1.0,0.24440469914676582,0.9005929530029356,0.8886267563676772
1.0,0.23130493206756247,0.8988728843001721,0.9056555619564399
1.0,0.22212478210950726,0.9042784069844391,0.9075552451745944
1.0,0.2228797208489847,0.9140847274913739,0.9101859196559439
1.0,0.20814683450696164,0.9109655620439759,0.9145459309762315
1.0,0.19773481930040554,0.9156195609143961,0.9148043508063135
1.0,0.2074813197854876,0.9145864959308394,0.9085862253023199
1.0,0.18943402238763468,0.9195445273048809,0.9169367791307064
1.0,0.19588243093052837,0.9155589537480991,0.9166261564118708
1.0,0.1810324054279363,0.9167391725115392,0.9205272180247094
1.0,0.18361441620924188,0.928401654263196,0.9288311373726446
1.0,0.17610578220039075,0.9254406369104973,0.933787565004311
1.0,0.18146550898050684,0.9299160236840907,0.9290230128385448
1.0,0.18185875239110208,0.9318337204018052,0.9295623939270876
1.0,0.17678846837315482,0.9234467766269564,0.9261910714857304
1.0,0.169162473428406,0.9320954464914986,0.9320464262435613
1.0,0.17452778362756832,0.9334066212766772,0.9342940571802487
1.0,0.16950158130576307,0.9286939126873341,0.9328769276136842
1.0,0.176210583746157,0.9348660392379728,0.9328130843233722
1.0,0.16990406374158085,0.9305245352530012,0.9334727206031452
1.0,0.16916500384032437,0.9283502781867271,0.9269960191167194
1.0,0.16154189348339587,0.9300603302327949,0.9273415454741067
1.0,0.15893351429306268,0.9339407411129692,0.9409098083545547
1.0,0.16071281400931933,0.9329378550032523,0.9331231077930979
1.0,0.15036902331089821,0.9325073473350095,0.9414708705185854
1.0,0.15348788291845872,0.9399104723126958,0.9385380095064758
1.0,0.15505850157658402,0.9352006782811362,0.9279194932910216
1.0,0.15635980022346077,0.9401345144190998,0.9352875239645824
1.0,0.15591174886284928,0.9362457753802511,0.9391271547947919
1.0,0.15174529963730432,0.93853224653961,0.9285453645563638
1.0,0.15188784308111974,0.9339966290503791,0.9270347851810372
1.0,0.15042404974305607,0.9369173588282484,0.93278029232064
1.0,0.14630485856538059,0.9383720532389783,0.9403498768334573
1.0,0.15072038607121332,0.9377620238391065,0.9404887767611554
1.0,0.15418274721281847,0.9366424310184347,0.9344147495381621
1.0,0.14645627511464196,0.9368893455564851,0.9309245376131131
