iteration,loss,ROC_AUC,f1_score
1.0,0.7287907600402832,0.5,0.0
1.0,0.4168625771999359,0.8566654920578003,0.8621005415916443
1.0,0.3172096908092499,0.8859444260597229,0.891287088394165
1.0,0.27872610092163086,0.8966884016990662,0.9007457494735718
1.0,0.262217253446579,0.9031063318252563,0.9099096059799194
1.0,0.23986349999904633,0.9063390493392944,0.9050758481025696
1.0,0.22584784030914307,0.9118516445159912,0.9121114015579224
1.0,0.2175891399383545,0.915898859500885,0.9162759780883789
1.0,0.20656830072402954,0.9202100038528442,0.922239363193512
1.0,0.20174343883991241,0.924785852432251,0.9288486838340759
1.0,0.1936386525630951,0.926171064376831,0.92825847864151
1.0,0.19481119513511658,0.9237748980522156,0.9235190749168396
1.0,0.18349599838256836,0.9299560189247131,0.9326155781745911
1.0,0.1794327050447464,0.930321991443634,0.9326860904693604
1.0,0.17730632424354553,0.9304004907608032,0.9319537878036499
1.0,0.1743732988834381,0.9357513785362244,0.9398865103721619
1.0,0.16992731392383575,0.9380914568901062,0.9417777061462402
1.0,0.165981724858284,0.9392175674438477,0.9426729679107666
1.0,0.16735439002513885,0.9372685551643372,0.9379691481590271
1.0,0.16747255623340607,0.9339464902877808,0.9341585636138916
1.0,0.1609877198934555,0.9414302706718445,0.9453514218330383
1.0,0.15703053772449493,0.9420896768569946,0.944955050945282
1.0,0.15533395111560822,0.9435791969299316,0.9456223845481873
1.0,0.17035676538944244,0.9420648813247681,0.9479283094406128
1.0,0.15314650535583496,0.9434739947319031,0.9468294978141785
1.0,0.16329218447208405,0.9431884288787842,0.9486376047134399
1.0,0.15050984919071198,0.944335401058197,0.9470409750938416
1.0,0.15447987616062164,0.9453348517417908,0.9497350454330444
1.0,0.15406082570552826,0.9428353309631348,0.9440187215805054
1.0,0.14668020606040955,0.9464505314826965,0.9491733312606812
1.0,0.1476004421710968,0.9453704357147217,0.949038028717041
1.0,0.14932671189308167,0.9446516633033752,0.9461212754249573
1.0,0.1482599377632141,0.9476839303970337,0.9516757726669312
1.0,0.14573001861572266,0.9468259811401367,0.9485576748847961
1.0,0.14335350692272186,0.9478850364685059,0.9498699903488159
1.0,0.1456892043352127,0.9461846351623535,0.9476416707038879
1.0,0.14549361169338226,0.9460939168930054,0.9475875496864319
1.0,0.1415664106607437,0.9491736888885498,0.9511411786079407
1.0,0.14497414231300354,0.9466124176979065,0.9481708407402039
1.0,0.13944853842258453,0.9506804943084717,0.9527102708816528
1.0,0.14252634346485138,0.9472386837005615,0.9490764737129211
